"centers","TAG_BRANCHING_OCCURRENCE_THRESHOLD","BRANCH_OCCURRENCE_THRESHOLD","BRANCH_RATIO_THRESHOLD","IND_TAG_RATIO_THRESHOLD_AS_STARTING_TAGS","result","kmeansResult"
"38","200.0","100.0","0.1","0.5","0.5161667779080399","0.40881020299135723"
"46","200.0","100.0","0.1","0.4","0.5569910149035423","0.46407779728152193"
"47","200.0","100.0","0.1","0.3","0.560102659187167","0.44507149133813106"
"40","200.0","100.0","0.05","0.5","0.5235780253959917","0.4489663156191632"
"47","200.0","100.0","0.05","0.4","0.5594984505923181","0.44507149133813106"
"48","200.0","100.0","0.05","0.3","0.5626098624942568","0.46683663681676696"
"40","200.0","100.0","0.01","0.5","0.5235780253959917","0.4489663156191632"
"47","200.0","100.0","0.01","0.4","0.5594984505923181","0.44507149133813106"
"48","200.0","100.0","0.01","0.3","0.5626098624942568","0.46683663681676696"
"40","200.0","100.0","0.005","0.5","0.5235780253959917","0.4489663156191632"
"47","200.0","100.0","0.005","0.4","0.5594984505923181","0.44507149133813106"
"48","200.0","100.0","0.005","0.3","0.5626098624942568","0.46683663681676696"
"41","200.0","70.0","0.1","0.5","0.5213772826716322","0.42958161464603367"
"51","200.0","70.0","0.1","0.4","0.5653588861208853","0.4511057375633966"
"52","200.0","70.0","0.1","0.3","0.5684704919893528","0.45807953025210435"
"44","200.0","70.0","0.05","0.5","0.5320203879468848","0.4483522530079302"
"53","200.0","70.0","0.05","0.4","0.5711702220098153","0.48706180951737066"
"54","200.0","70.0","0.05","0.3","0.5742815913786021","0.4849281524622502"
"46","200.0","70.0","0.01","0.5","0.5402540661232287","0.46407779728152193"
"55","200.0","70.0","0.01","0.4","0.5761455709197969","0.48488616915314847"
"56","200.0","70.0","0.01","0.3","0.5791838454348816","0.48308122368937806"
"46","200.0","70.0","0.005","0.5","0.5402540661232287","0.46407779728152193"
"55","200.0","70.0","0.005","0.4","0.5761455709197969","0.48488616915314847"
"56","200.0","70.0","0.005","0.3","0.5791838454348816","0.48308122368937806"
"45","200.0","50.0","0.1","0.5","0.5266616022127951","0.4420252656835731"
"58","200.0","50.0","0.1","0.4","0.5734915985618568","0.49727223565321427"
"60","200.0","50.0","0.1","0.3","0.5771949673826445","0.49349991719000724"
"50","200.0","50.0","0.05","0.5","0.545210374409216","0.4705402080391174"
"60","200.0","50.0","0.05","0.4","0.5792683011842074","0.49349991719000724"
"62","200.0","50.0","0.05","0.3","0.582968819786153","0.5124744737495635"
"54","200.0","50.0","0.01","0.5","0.5569800202070975","0.4849281524622502"
"64","200.0","50.0","0.01","0.4","0.5885648707983371","0.5193189414447593"
"65","200.0","50.0","0.01","0.3","0.5891383647030755","0.5231416373380138"
"54","200.0","50.0","0.005","0.5","0.5569800202070975","0.4849281524622502"
"64","200.0","50.0","0.005","0.4","0.5885648707983371","0.5193189414447593"
"65","200.0","50.0","0.005","0.3","0.5891383647030755","0.5231416373380138"
"55","200.0","30.0","0.1","0.5","0.5375902577582121","0.48488616915314847"
"71","200.0","30.0","0.1","0.4","0.587252866664126","0.5318440131015006"
"73","200.0","30.0","0.1","0.3","0.5907280427856452","0.5327732049329423"
"64","200.0","30.0","0.05","0.5","0.5610288927030599","0.5193189414447593"
"76","200.0","30.0","0.05","0.4","0.5966950762826457","0.5400816911916125"
"79","200.0","30.0","0.05","0.3","0.6016250745033762","0.546936552085958"
"81","200.0","30.0","0.01","0.5","0.5879984203394926","0.5399085631736923"
"95","200.0","30.0","0.01","0.4","0.6223285888033551","0.5927092393084704"
"97","200.0","30.0","0.01","0.3","0.6242693605340389","0.5956483467198393"
"83","200.0","30.0","0.005","0.5","0.5917314965974165","0.5447985689009894"
"97","200.0","30.0","0.005","0.4","0.6260574547109042","0.5956483467198393"
"99","200.0","30.0","0.005","0.3","0.6279979747900073","0.5861851404539326"
"56","200.0","10.0","0.1","0.5","0.5387229967300273","0.48308122368937806"
"76","200.0","10.0","0.1","0.4","0.5904708902888897","0.5400816911916125"
"78","200.0","10.0","0.1","0.3","0.5939092750275384","0.5643458601476334"
"91","200.0","10.0","0.05","0.5","0.6065681990937543","0.5686989139205849"
"111","200.0","10.0","0.05","0.4","0.6285967167863593","0.6244439497051532"
"114","200.0","10.0","0.05","0.3","0.6330696177443","0.6076380583566612"
"56","200.0","1.0","0.1","0.5","0.5387229967300273","0.48308122368937806"
"76","200.0","1.0","0.1","0.4","0.5904708902888897","0.5400816911916125"
"78","200.0","1.0","0.1","0.3","0.5939092750275384","0.5643458601476334"
"91","200.0","1.0","0.05","0.5","0.6065681990937543","0.5686989139205849"
"111","200.0","1.0","0.05","0.4","0.6285967167863593","0.6244439497051532"
"114","200.0","1.0","0.05","0.3","0.6330696177443","0.6076380583566612"
